	b	se	t	pvalue	ll	ul	df	crit	eform	
woman:1._at	 -2.400853	 .61186648	-3.9238184	  .0000874	  -3.60015	 -1.201556	     23897	 1.9600633	         0	
woman:2._at	-2.3795697	 .60398525	-3.9397812	 .00008179	 -3.563419	-1.1957204	     23897	 1.9600633	         0	
woman:3._at	-2.3582865	   .596109	 -3.956133	 .00007639	-3.5266978	-1.1898751	     23897	 1.9600633	         0	
woman:4._at	-2.3370032	 .58823794	-3.9728876	 .00007121	-3.4899868	-1.1840196	     23897	 1.9600633	         0	
woman:5._at	  -2.31572	 .58037228	-3.9900596	 .00006625	-3.4532863	-1.1781536	     23897	 1.9600633	         0	
woman:6._at	-2.2944367	 .57251224	-4.0076641	 .00006151	-3.4165969	-1.1722765	     23897	 1.9600633	         0	
woman:7._at	-2.2731535	 .56465805	-4.0257169	 .00005698	 -3.379919	 -1.166388	     23897	 1.9600633	         0	
woman:8._at	-2.2518702	 .55680997	-4.0442347	 .00005266	 -3.343253	-1.1604875	     23897	 1.9600633	         0	
woman:9._at	 -2.230587	 .54896825	-4.0632349	 .00004855	-3.3065995	-1.1545745	     23897	 1.9600633	         0	
woman:10._at	-2.2093037	 .54113318	-4.0827357	 .00004465	 -3.269959	-1.1486485	     23897	 1.9600633	         0	
woman:11._at	-2.1880205	 .53330503	-4.1027561	 .00004096	-3.2333321	-1.1427089	     23897	 1.9600633	         0	
woman:12._at	-2.1667372	 .52548414	-4.1233162	 .00003747	-3.1967194	-1.1367551	     23897	 1.9600633	         0	
woman:13._at	 -2.145454	 .51767081	-4.1444368	 .00003418	-3.1601215	-1.1307864	     23897	 1.9600633	         0	
woman:14._at	-2.1241707	  .5098654	-4.1661401	 .00003109	-3.1235392	-1.1248023	     23897	 1.9600633	         0	
woman:15._at	-2.1028875	 .50206829	-4.1884491	 .00002819	-3.0869731	-1.1188019	     23897	 1.9600633	         0	
woman:16._at	-2.0816042	 .49427986	 -4.211388	 .00002547	 -3.050424	-1.1127844	     23897	 1.9600633	         0	
woman:17._at	 -2.060321	 .48650052	-4.2349821	 .00002294	-3.0138928	-1.1067492	     23897	 1.9600633	         0	
woman:18._at	-2.0390377	 .47873073	-4.2592581	 .00002059	-2.9773802	-1.1006952	     23897	 1.9600633	         0	
woman:19._at	-2.0177545	 .47097095	 -4.284244	 .00001841	-2.9408873	-1.0946216	     23897	 1.9600633	         0	
woman:20._at	-1.9964712	  .4632217	-4.3099692	 .00001639	-2.9044151	-1.0885274	     23897	 1.9600633	         0	
