name,rank,prop100k,cum_prop100k,count,pcthispanic,adjusted_count,probability
SMITH,1,880.85,880.85,2376206,1.56,2376206,0.007696324991099952
JOHNSON,2,688.44,1569.3,1857160,1.5,1857160,0.006015180047719427
WILLIAMS,3,568.66,2137.96,1534042,1.6,1534042,0.004968628890759872
BROWN,4,511.62,2649.58,1380145,1.64,1380145,0.0044701698652564814
JONES,5,505.17,3154.75,1362755,1.44,1362755,0.004413845164622266
MILLER,6,418.07,3572.82,1127803,1.43,1127803,0.003652856029291021
DAVIS,7,397.51,3970.33,1072335,1.58,1072335,0.0034731999916384217
GARCIA,8,318.17,4288.5,858289,90.81,998612,0.0032344175934293177
RODRIGUEZ,9,298.13,4586.62,804240,92.7,935727,0.0030307385365355467
MARTINEZ,11,287.32,5164.22,775072,91.72,901790,0.002920819539098894
HERNANDEZ,15,261.85,6239.18,706372,93.81,821858,0.002661926728800207
WILSON,10,290.27,4876.9,783051,1.73,783051,0.0025362342240554097
ANDERSON,12,282.62,5446.83,762394,1.58,762394,0.0024693279939805965
LOPEZ,21,230.4,7700.81,621536,91.51,723152,0.0023422265619916427
TAYLOR,13,267.04,5713.87,720370,1.61,720370,0.00233321590545545
THOMAS,14,263.45,5977.33,710696,1.66,710696,0.0023018826591106882
MOORE,16,259.0,6498.17,698671,1.5,698671,0.0022629347278210706
GONZALEZ,23,221.57,8146.97,597718,93.99,695440,0.002252469799255852
MARTIN,17,249.37,6747.54,672711,3.99,672711,0.0021788525410203663
JACKSON,18,246.93,6994.47,666125,1.53,666125,0.002157521058652514
THOMPSON,19,238.87,7233.34,644368,1.62,644368,0.002087052024052247
WHITE,20,237.07,7470.4,639515,1.55,639515,0.002071333578268587
LEE,22,224.59,7925.4,605860,1.34,605860,0.0019623279543557323
HARRIS,24,220.02,8366.99,593542,1.45,593542,0.001922431021497062
PEREZ,29,181.09,9312.7,488521,91.65,568390,0.0018409658765659634
CLARK,25,203.28,8570.27,548369,1.68,548369,0.0017761195952895035
SANCHEZ,33,163.57,9996.31,441242,91.78,513381,0.00166279650007444
LEWIS,26,189.03,8759.3,509930,1.64,509930,0.0016516190106041306
ROBINSON,27,186.47,8945.77,503028,1.68,503028,0.001629264031663512
WALKER,28,185.83,9131.61,501307,1.6,501307,0.0016236898620377795
HALL,30,175.55,9488.25,473568,1.4,473568,0.001533845648645455
YOUNG,31,172.73,9660.97,465948,1.69,465948,0.0015091651300236768
ALLEN,32,171.77,9832.74,463368,1.62,463368,0.0015008087339548855
RAMIREZ,42,144.2,11387.3,388987,93.67,452583,0.0014658770550394157
WRIGHT,34,163.24,10159.55,440367,1.52,440367,0.0014263104913276512
KING,35,162.73,10322.28,438986,1.62,438986,0.0014218375521916045
SCOTT,36,155.73,10478.01,420091,1.68,420091,0.0013606382871839268
GREEN,37,153.27,10631.29,413477,1.71,413477,0.001339216115246336
BAKER,38,153.23,10784.51,413351,1.47,413351,0.0013388080121825112
ADAMS,39,153.13,10937.64,413086,1.76,413086,0.0013379497001831974
NELSON,40,152.81,11090.46,412236,1.68,412236,0.0013351966239589833
HILL,41,152.64,11243.1,411770,1.64,411770,0.001333687290405473
TORRES,50,120.54,12433.8,325169,91.16,378331,0.0012253812717448892
CAMPBELL,43,137.88,11525.18,371953,1.65,371953,0.0012047234833236684
MITCHELL,44,136.21,11661.38,367433,1.63,367433,0.0011900835956372591
ROBERTS,45,135.75,11797.14,366215,1.58,366215,0.0011861385993536205
FLORES,55,115.89,13021.23,312615,90.84,363725,0.0011780737054732755
CARTER,46,134.4,11931.53,362548,1.52,362548,0.0011742615046310403
PHILLIPS,47,130.43,12061.96,351848,1.58,351848,0.0011396051333379918
RIVERA,59,111.01,13474.17,299463,90.17,348422,0.0011285086166978064
EVANS,48,126.87,12188.83,342237,1.55,342237,0.0011084759385251424
TURNER,49,124.43,12313.26,335663,1.4,335663,0.0010871833231157497
PARKER,51,120.2,12554.0,324246,1.46,324246,0.0010502046510547467
COLLINS,52,117.83,12671.82,317848,1.61,317848,0.0010294820843694266
EDWARDS,53,117.54,12789.36,317070,1.63,317070,0.0010269622098959695
STEWART,54,115.99,12905.35,312899,1.59,312899,0.0010134527029180905
MORRIS,56,115.57,13136.8,311754,1.73,311754,0.0010097441472984138
NGUYEN,57,114.96,13251.76,310125,0.58,310125,0.0010044679576875376
GOMEZ,68,97.71,14390.69,263590,91.16,306685,0.0009933260962624827
MURPHY,58,111.39,13363.16,300501,1.54,300501,0.0009732966570030236
COOK,60,109.28,13583.45,294795,1.42,294795,0.0009548154182555344
ROGERS,61,109.13,13692.58,294403,1.77,294403,0.000953545764279191
