First Names,Smith,Johnson,Williams,Brown,Jones,Miller,Davis,Garcia,Rodriguez,Martinez,Hernandez,Wilson,Anderson,Lopez,Taylor,Thomas,Moore,Gonzalez,Martin,Jackson
Michael,0.00011093722295738469,8.670467669366064e-05,7.161936270676545e-05,6.443441922902294e-05,6.36225374699377e-05,5.265340330889129e-05,5.0063785286295516e-05,4.662190150682215e-05,4.368600821067058e-05,4.210160158283412e-05,3.836984006660629e-05,3.655806919686384e-05,3.559366198022072e-05,3.376158239482547e-05,3.363169998805289e-05,3.318005282661582e-05,3.2618645227248365e-05,3.246780049098589e-05,3.140665842645176e-05,3.1099179802798194e-05
James,9.83935969758321e-05,7.690101470985105e-05,6.352139094506091e-05,5.7148846058889576e-05,5.6428763434988406e-05,4.669990474316383e-05,4.4403093760843505e-05,4.1350382358781026e-05,3.874644930507054e-05,3.7341190880266956e-05,3.403137809742228e-05,3.24244634116412e-05,3.15691013206736e-05,2.994417421733088e-05,2.982897756064927e-05,2.9428397957220868e-05,2.8930468483246648e-05,2.879667969901291e-05,2.785552052945283e-05,2.758280838678387e-05
John,9.247147114486362e-05,7.227248704506045e-05,5.9698157709394253e-05,5.370916433307036e-05,5.303242213007569e-05,4.388912517331857e-05,4.173055493089713e-05,3.88615804955103e-05,3.6414373282438394e-05,3.509369472332221e-05,3.198309335645787e-05,3.04728958480269e-05,2.9669016395050414e-05,2.814189060264574e-05,2.8033627416404727e-05,2.765715794706772e-05,2.7189197913082038e-05,2.7063461624532536e-05,2.617894905800775e-05,2.5922650947086358e-05
Robert,9.064912580819373e-05,7.084820528436722e-05,5.852167962417953e-05,5.265071199153168e-05,5.1987306420716494e-05,4.3024197411275925e-05,4.090816634733244e-05,3.809573110309963e-05,3.5696751268671024e-05,3.440209946552236e-05,3.1352799058023796e-05,2.9872363176101698e-05,2.9084325862914267e-05,2.7587295304551424e-05,2.748116567269358e-05,2.7112115328123933e-05,2.6653377433411297e-05,2.6530119043572087e-05,2.5663037662372632e-05,2.5411790446191558e-05
David,8.697946761350461e-05,6.798012801629834e-05,5.615260480646705e-05,5.051930570389954e-05,4.988275611947848e-05,4.1282491717011627e-05,3.9252121829221654e-05,3.6553539597348487e-05,3.425167527208577e-05,3.3009433567284283e-05,3.008357494842605e-05,2.8663070076509526e-05,2.790693409230102e-05,2.647050632968736e-05,2.636867303791856e-05,2.601456259055287e-05,2.5574395324729792e-05,2.5456126681413838e-05,2.4624146491401966e-05,2.4383070265812713e-05
William,7.230792788058596e-05,5.651336262205761e-05,4.6680884696777066e-05,4.199780032739219e-05,4.146862277887857e-05,3.431903546557347e-05,3.2631144708761846e-05,3.0387754460971693e-05,2.8474164458770436e-05,2.7441461844399693e-05,2.5009131780696883e-05,2.3828235108749292e-05,2.3199642778694884e-05,2.200550906053663e-05,2.192085282477096e-05,2.1626473089042333e-05,2.126055244379354e-05,2.1162233141939167e-05,2.04705898699342e-05,2.027017794730563e-05
Mary,6.461764758314905e-05,5.0502906896759416e-05,4.171615816715771e-05,3.7531141333556624e-05,3.7058244248257216e-05,3.0669048389415e-05,2.916067256840364e-05,2.7155877179126573e-05,2.5445806264287404e-05,2.4522936316972513e-05,2.2349295729154675e-05,2.129399284305841e-05,2.0732254194925584e-05,1.966512208329135e-05,1.9589469427092214e-05,1.9326398328576606e-05,1.8999395024912123e-05,1.891153243246805e-05,1.8293448599703807e-05,1.8114351405696798e-05
Christopher,5.4883151475233164e-05,4.2894763161840356e-05,3.543171739124033e-05,3.187716346679777e-05,3.147550721134084e-05,2.6048828629850437e-05,2.4767686066441273e-05,2.306490837115365e-05,2.161245560379256e-05,2.082861383602706e-05,1.8982427072876753e-05,1.8086103076009743e-05,1.7608989029490252e-05,1.6702617851995078e-05,1.6638362089908752e-05,1.6414922031525175e-05,1.6137181003815592e-05,1.6062554703563644e-05,1.553758374150035e-05,1.5385467117093255e-05
Joseph,5.232029215308789e-05,4.089172141431707e-05,3.377717488092668e-05,3.0388606717440947e-05,3.000570646361523e-05,2.4832435593180468e-05,2.3611118095813874e-05,2.198785441480217e-05,2.0603226326140276e-05,1.9855987343156752e-05,1.8096011317348962e-05,1.7241542648561458e-05,1.6786708229741568e-05,1.5922661550004428e-05,1.58614063167587e-05,1.5648400160605166e-05,1.5383628708491635e-05,1.5312487206472606e-05,1.4812030629750077e-05,1.4667017342130975e-05
Richard,5.0127973545513834e-05,3.91782814073302e-05,3.2361847749608886e-05,2.9115266962954047e-05,2.8748410949646918e-05,2.3791909854848923e-05,2.262176785679717e-05,2.1066521975886204e-05,1.9739912407351477e-05,1.9023984142624386e-05,1.7337754421194505e-05,1.6519089596099056e-05,1.608331359455303e-05,1.5255472095174165e-05,1.5196783571366203e-05,1.4992702773624215e-05,1.4739025743145878e-05,1.4670865203813198e-05,1.419137869855398e-05,1.405244174032277e-05
Thomas,4.780031962335289e-05,3.735906802343991e-05,3.0859150223359214e-05,2.7763321920141757e-05,2.7413500583839222e-05,2.2687150807706175e-05,2.1571343453937966e-05,2.008831422011209e-05,1.8823304747231986e-05,1.814062006119983e-05,1.6532689120812572e-05,1.575203836762726e-05,1.5336497289766336e-05,1.4547095974114572e-05,1.4491132606800387e-05,1.4296528144040712e-05,1.4054630411491086e-05,1.3989634854412678e-05,1.3532412936481663e-05,1.3399927409116022e-05
